term,estimate,std_error_debate_clustered,p_value,ci_low,ci_high
Intercept,0.3381480205657628,0.03567027269634252,2.5470456014609e-21,0.26823557076220905,0.4080604703693166
C(House)[T.Lords],0.02550062886229791,0.02214893680076096,0.24959847790399692,-0.017910489563047374,0.0689117472876432
C(PartyModel)[T.Crossbench],-0.15907472189750407,0.03501159543959365,5.533127046190292e-06,-0.22769618800039443,-0.09045325579461372
C(PartyModel)[T.Labour],-0.180939153724946,0.021808522237152884,1.0702724709966968e-16,-0.22368307186580655,-0.13819523558408547
C(PartyModel)[T.Liberal Democrat],-0.20630547718232603,0.028213347613930097,2.6253763186369057e-13,-0.2616026223889381,-0.15100833197571398
C(PartyModel)[T.Other],-0.1773097185749859,0.034849471158733505,3.620997864955446e-07,-0.2456134269263709,-0.10900601022360089
C(PartyModel)[T.Scottish National Party],-0.2780762574341134,0.05201390868457193,8.982473669534964e-08,-0.38002164515102954,-0.17613086971719727
year_c,-0.017967786595216157,0.007042894625192649,0.010735472107724983,-0.03177160640750447,-0.004163966782927842
post_2023,0.11753239082780514,0.038919186778380854,0.0025285089192256045,0.04125218643459122,0.19381259522101907
post_slope,0.009619677145384703,0.019811099636854214,0.6272720174567478,-0.0292093646369841,0.04844871892775351
