Year,mean,ci_low,ci_high,n
2015,0.04256743565201759,-0.08602902263978102,0.1711638939438162,30
2016,0.10226164758205414,0.0015239518011887637,0.20299934336291953,102
2017,0.20834621787071228,0.15100100050884768,0.2656914352325769,267
2018,0.2954297959804535,0.2467252701720565,0.34413432178885045,375
2019,0.2069202959537506,0.14711386901121315,0.26672672289628807,244
2020,0.09256349503993988,0.04184804582139911,0.14327894425848064,394
2021,0.1277979612350464,0.06984978615896947,0.1857461363111233,283
2022,0.1414673924446106,0.0825802066953209,0.2003545781939003,271
2023,0.2164514809846878,0.17627054326993488,0.2566324186994407,557
2024,0.22594787180423737,0.18234224247789296,0.26955350113058174,499
2025,0.16354575753211975,0.12266305046689543,0.20442846459734407,640
