Year,"Defence, borders & immigration",Education & skills,Health & social care,Other / economy / society,"Policing, justice & security",Public administration & regulation,"Tax, revenue & public finance",Transport & infrastructure,Welfare & employment
2015,1,1,3,8,1,10,0,3,3
2016,2,24,13,33,7,4,1,10,8
2017,5,52,17,49,16,31,2,80,15
2018,19,50,87,72,45,38,6,35,23
2019,12,34,60,46,33,27,4,14,14
2020,31,79,62,75,30,50,5,38,24
2021,53,44,29,49,33,22,5,28,20
2022,26,24,32,69,38,47,5,15,15
2023,39,54,77,120,50,141,8,35,33
2024,34,40,54,88,61,136,9,59,18
2025,40,65,69,137,68,118,32,59,52
