Year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2015,15,6,1,1,1,0,4,2,0,0,0,0,0,0,0
2016,31,46,8,6,2,0,1,2,1,3,1,1,0,0,0
2017,64,81,6,24,21,6,1,60,0,1,0,0,0,2,1
2018,88,105,70,13,23,22,7,19,0,2,7,0,2,12,5
2019,64,65,51,21,12,4,2,4,0,2,7,1,6,3,2
2020,112,58,45,12,15,7,10,3,1,60,8,45,11,7,0
2021,89,49,22,16,11,7,37,10,1,11,9,12,7,2,0
2022,74,34,12,51,14,12,16,6,17,9,9,0,4,11,2
2023,213,63,44,70,38,37,22,12,15,2,7,2,11,4,17
2024,157,58,47,42,38,39,26,22,17,3,21,0,11,8,10
2025,168,104,48,69,49,28,31,13,67,13,32,2,2,3,11
